"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","median_income","poverty","median_rent","percent_employed_agriculture_forestry_fishing_hunting_mining","percent_employed_arts_entertainment_recreation_accommodation_food","percent_employed_construction","percent_employed_education_health_social","percent_employed_finance_insurance_real_estate","percent_employed_information","percent_employed_manufacturing","percent_employed_other_services_not_public_admin","percent_employed_public_administration","percent_employed_retail_trade","percent_employed_science_management_admin_waste","percent_employed_transportation_warehousing_utilities","percent_employed_wholesale_trade","percent_unemployed"
"1","Anderson County",96.5418116958457,1.29876876720869,0.0134529147982063,-0.624869475157791,-0.1544557396495,0.134316888716563,-0.481083318470512,-0.956705730319389,-1.44503289050131,-0.821813585761254,-0.904178099347848,-0.459263641590512,-0.666102378519239,-1.07582176923304,0.802806780338241,1.2675993908182,-0.264910100731651,-0.490396848289518,-0.440368918233658,-0.931714392252773
"2","Andrews County",91.3694031973602,2.10502361039995,0.0230386052303861,1.71921365471241,-0.229712537344515,1.18522379089604,2.00416335534524,-0.428422428134664,0.0159222627141185,-1.45766918086537,0.540259083117129,-0.501125557822981,-0.42812587986085,-0.932757809060533,-1.41544824906854,-0.220548381374539,0.751621675642361,1.92958281866219,-0.586007282381319,-0.372960144402055
"3","Angelina County",77.1379703534778,2.20068415051311,0.0285291943828529,-0.282076165132118,-0.0104396918041254,0.336901351787305,-0.861471557206027,0.208592253144266,-0.820945462840383,1.1417680712893,-0.102066857242244,-0.416443804256284,0.776061541142023,0.331296302093917,-0.589444787035632,0.74717358053306,0.179480484943035,-0.71230262491183,-0.19164482677334,0.582235234553302
"4","Aransas County",36.0422036082474,1.04703608247423,0.0290502793296089,-0.436287822515632,-0.194635084967404,0.735739513457829,-0.683045847482389,2.0588333451047,1.81494861716291,-0.900772330466002,0.600096867628046,-0.756895476778554,-0.681067849102573,1.01517829373789,-0.384028316736083,0.606061021592409,0.481459083599661,-1.29224040740874,0.197371660555912,0.291900350249714
"5","Archer County",78.9264187421813,1.13726828158763,0.0144092219020173,1.09602052725289,-0.250073587287552,-0.669690199095444,0.0227477550638086,-1.04613200004599,0.0499016715235631,1.30844670725664,0.730046121869681,-0.0710387154944735,0.421240089161751,0.110949927191868,0.111974955069951,1.69363993651398,0.889353209046171,0.182864622485966,1.0827043303939,-0.899606778973048
"6","Armstrong County",66.3556246759979,3.1104199066874,0.046875,1.55412228659954,-0.259827662241222,-0.163229041418589,0.597457789067989,-0.558578312283733,1.73945593117817,1.46381359314344,0.00387200534661617,1.42078009669413,-0.351388724712366,0.717067628641704,1.3629703876555,-1.13068870092837,0.269018413605737,0.520924198364279,0.39613360479016,-1.35751906326431
"7","Atascosa County",78.54338478157,1.86958599056898,0.0238032266596139,0.436808963515136,-0.154052550541717,0.222947591310013,-0.169309216375224,-0.0586308298276898,1.08651268035149,-0.0867555977152716,0.320509785059315,-0.00186399475817583,-0.304786985478374,-0.482303614672139,-0.202781571298035,0.0463220329693973,0.133484424472225,0.577908496587097,-0.168749493085017,0.070377578324938
"8","Austin County",47.9311757476444,0.614502253174928,0.0128205128205128,1.04838058178647,-0.201659879806852,0.495170463561323,-0.633464472032572,-0.385728291255347,0.920043938673388,0.0125304497220039,0.175363464109516,-0.391697775686905,1.07168933408596,-0.317473917276288,-0.221497965944675,1.58205060665311,1.15664030428778,0.172095255058404,0.612898493394975,-0.00946799249704142
"9","Bailey County",104.536489151874,2.11327134404057,0.0202156334231806,-0.525138793472034,-0.23828805952159,0.159639946600406,0.663457820565384,0.258471079754941,1.53737413555271,-1.41157425688215,-0.950177079383775,0.0164372631825618,-0.0752051159403187,0.673167162558869,-0.820907076950788,0.353621305556313,-0.115890521003865,1.12100149961238,0.717319172925748,-1.29331449229347
"10","Bandera County",38.4687558641396,0.938262338149747,0.024390243902439,0.537281443659713,-0.208234963718388,0.786385629225515,-0.546839347724883,-0.0743811914152228,0.828614227582973,0.370185588401061,1.38307007097246,1.38109560759368,-0.369590677706147,1.00677068328535,-0.103129455533027,-0.937026539138328,0.131443243017804,-1.35126584928466,0.381941223701571,-0.155975190823498
"11","Bastrop County",54.4542126366648,0.70978507209922,0.0130345300708896,0.765755368976175,-0.10193260472409,1.10292385277355,-0.93148053060854,-0.31440869335676,1.99419463006529,-0.495133061499264,-0.203628754141429,-0.281045761120089,0.150496968615256,-0.53756487874159,1.15201483979077,0.100150834732703,0.575115531211954,0.788921743610038,-0.122546100244698,0.66931095213038
"12","Baylor County",76.0688506385341,2.49861188228762,0.0328467153284672,-1.13225962099045,-0.25489634930757,-1.25845129489479,0.0408298228929733,1.1385735778072,-0.642018369513844,1.67033672889976,0.659300790221967,0.643827719456174,-0.963259096632749,1.04605100853801,-0.545701467798757,-2.23722943847727,-0.76246662964016,-0.476019589044676,-0.894395916151399,-1.34898887693101
"13","Bee County",94.1672522839072,1.61935897827615,0.0171966255678131,-0.369196273017941,-0.185609851862417,0.824370216051279,-0.337059008224566,-0.533281638289302,-1.29416894349791,-1.18017801354525,-1.08522251023635,-0.895939747630225,-0.968668799970745,-0.51248957636179,1.12743623851868,0.358497427222295,-1.28751985500459,-0.498434229588866,-0.358076312395888,-0.453026538029483
"14","Bell County",49.0689616232697,0.635947055921737,0.0129602713178295,0.221604988406447,0.461741275229774,1.09026232383163,-1.14193556372555,0.404448019972537,-0.686851024545275,0.704584331116066,0.239996356982766,0.413546836661512,-0.408846439540542,-0.323110222089153,1.95682304762844,0.257348225188485,0.740337045169213,-0.756664283235006,-0.113352063537786,0.774393390064431
