"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","percent_employed_agriculture_forestry_fishing_hunting_mining","percent_employed_arts_entertainment_recreation_accommodation_food","percent_employed_construction","percent_employed_education_health_social","percent_employed_finance_insurance_real_estate","percent_employed_information","percent_employed_manufacturing","percent_employed_other_services_not_public_admin","percent_employed_public_administration","percent_employed_retail_trade","percent_employed_science_management_admin_waste","percent_employed_transportation_warehousing_utilities","percent_employed_wholesale_trade","percent_unemployed"
"1","Anderson County",96.5418116958457,1.29876876720869,0.0134529147982063,0.0305989921554366,0.0183039811591944,0.0166069233033751,0.075051517827766,0.0102862486362928,0.00287460820475523,0.0190139747519352,0.0134898782620742,0.0325211699309055,0.0619772455711985,0.0229449148873535,0.0203993281036244,0.00671896375569294,0.0147193793616984
"2","Andrews County",91.3694031973602,2.10502361039995,0.0230386052303861,0.1321044546851,0.0256585310348751,0.0353871536667236,0.0621835353018149,0.023610399954486,0.00273084144051886,0.0242362177846049,0.0145644876827673,0.00733913637139444,0.0424987199180748,0.0374921772771235,0.0447744211185071,0.00563236047107015,0.0217898389941401
"3","Angelina County",77.1379703534778,2.20068415051311,0.0285291943828529,0.0150627137970353,0.0345267958950969,0.0246294184720639,0.11478905359179,0.0176852907639681,0.00302166476624857,0.0506613454960091,0.0240592930444698,0.0167160775370582,0.0551653363740023,0.0293044469783352,0.0181641961231471,0.00857468643101482,0.0338768529076397
"4","Aransas County",36.0422036082474,1.04703608247423,0.0290502793296089,0.0223501932989691,0.0602851159793814,0.0585132087628866,0.0734536082474227,0.0241623711340206,0.00185244845360825,0.0186855670103093,0.0291961984536082,0.0190480025773196,0.0533182989690722,0.0336259664948454,0.0123228092783505,0.0114771262886598,0.0302029639175258
"5","Archer County",78.9264187421813,1.13726828158763,0.0144092219020173,0.0511770726714432,0.0170590242238144,0.0358239508700102,0.118162174456954,0.0253610826794041,0.00420789264187422,0.0428750142158535,0.0224041851472762,0.0246787217104515,0.067553735926305,0.0394632093710906,0.0271807119299443,0.0180825656772433,0.0151256681451154
"6","Armstrong County",66.3556246759979,3.1104199066874,0.046875,0.0746500777604977,0.0238465526179368,0.057542768273717,0.121306376360809,0.0186625194401244,0.00933125972006221,0.0259201658890617,0.0269569725246242,0.0388802488335925,0.0305857957490928,0.0305857957490928,0.0305857957490928,0.0129600829445308,0.00933125972006221
"7","Atascosa County",78.54338478157,1.86958599056898,0.0238032266596139,0.0433328486258543,0.0308066224890421,0.0491493383742911,0.0899270861463678,0.0215833316022352,0.00444546002201957,0.0269428114418663,0.0179480255094622,0.0211055485157565,0.0459918153679968,0.0286462120110513,0.031159766509483,0.00874550780032822,0.027399821350672
"8","Austin County",47.9311757476444,0.614502253174928,0.0128205128205128,0.0243752560426055,0.0262529018161955,0.047009422367882,0.0919363648777823,0.0202444353407074,0.00310665027993992,0.0571487095452683,0.0191861259046839,0.0208930766079476,0.0660931312303701,0.0432882698347672,0.0270722381537621,0.0145773590058719,0.0263894578724566
"9","Bailey County",104.536489151874,2.11327134404057,0.0202156334231806,0.077345731191885,0.0352211890673429,0.0549450549450549,0.0631163708086785,0.00986193293885602,0.00450831220061989,0.0319808396731474,0.0266272189349112,0.0140884756269372,0.0500140884756269,0.0250774866159482,0.0366300366300366,0.0153564384333615,0.0101437024513948
"10","Bandera County",38.4687558641396,0.938262338149747,0.024390243902439,0.027913304559955,0.0305873522236817,0.0458341152186151,0.0991743291424282,0.031384875211109,0.00919497091386752,0.0255207355976731,0.0291330455995496,0.022236817414149,0.0331206605366861,0.0286170013135673,0.0117282792268718,0.0128541940326515,0.0245355601426159
"11","Bastrop County",54.4542126366648,0.70978507209922,0.0130345300708896,0.0122033222922322,0.0272457848728613,0.0608173735461858,0.0816626404004682,0.0167484372276044,0.00348666351206635,0.0369337284885314,0.0175329365178193,0.0364854431798371,0.0466963863223171,0.0349662540781511,0.0332851841705477,0.0090902298707444,0.034978706447837
"12","Baylor County",76.0688506385341,2.49861188228762,0.0328467153284672,0.0519156024430872,0.0474736257634647,0.026929483620211,0.125485841199334,0.0247084952803998,0.00666296501943365,0.0124930594114381,0.0294280955024986,0.0172126596335369,0.0161021654636313,0.0158245419211549,0.0205441421432537,0.00333148250971682,0.00943920044419767
"13","Bee County",94.1672522839072,1.61935897827615,0.0171966255678131,0.0364814079256928,0.0241987228451832,0.0185462433927098,0.0677991994866938,0.00861621192214855,0.00137492743438541,0.0123743469094687,0.0177212869320786,0.0362064224388157,0.0500779125546152,0.00831067249228513,0.0203183720859177,0.00733294631672217,0.0207766812307128
"14","Bell County",49.0689616232697,0.635947055921737,0.0129602713178295,0.00360766227050929,0.0372534219300696,0.0263531705229624,0.105941647400046,0.0208406387999025,0.00587210926402501,0.0246592928506475,0.019143789412373,0.0456217719743482,0.0487539598105234,0.0373306865256489,0.017717366109371,0.00915882629135885,0.0363084164918308
"15","Bexar County",80.4601893019254,1.07822182194118,0.0134006871136628,0.00580389893467456,0.0528418544569673,0.0354333288935964,0.105352842805829,0.0415120686848442,0.00876055230327209,0.0262087183748026,0.0217864232845174,0.0217663387603832,0.0553767328187467,0.0523032720861055,0.0202578852898831,0.0111056847659942,0.0300422197838905
"16","Blanco County",28.6770673640545,0.99197402831635,0.0345911949685535,0.0243484534223104,0.0270538371359004,0.0707908738389395,0.107944810172243,0.0144287131391469,0.00523040851294075,0.0352601677337902,0.0226350437370367,0.0188475065380106,0.0366128595905853,0.0524844440436469,0.0272341960501398,0.0175849941383353,0.0277752727928578
"17","Borden County",29.9003322259136,0,0,0.129568106312292,0,0.0415282392026578,0.0847176079734219,0.00332225913621262,0,0.00830564784053156,0.026578073089701,0.0614617940199336,0.0132890365448505,0.0348837209302326,0.00664451827242525,0.0132890365448505,0.00664451827242525
