"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","hispanic_ratio","median_age","bachelors_degree","percent_male_pop","percent_female_pop","white_ratio","black_ratio","asian_ratio","amerindian_ratio","other_race_ratio","percent_children"
"1","Anderson County",96.5418116958457,1.29876876720869,0.0134529147982063,-0.741797775755242,0.0135282027180198,-0.191294000703882,3.12435487274135,-3.12435487274136,0.147928619325135,2.23689688781997,-0.225095374706014,-0.108411416610424,-0.277608279423387,-1.24969088985103
"2","Andrews County",91.3694031973602,2.10502361039995,0.0230386052303861,0.898610414584349,-1.24360478156621,-0.241600675389514,0.0562516910976414,-0.0562516910976448,-0.729600083218663,-0.703028359729428,-0.397207476998195,-0.475470096174096,-0.360053142814263,1.713725068163
"3","Angelina County",77.1379703534778,2.20068415051311,0.0285291943828529,-0.559574720748592,-0.371992579129146,-0.128263159277982,-0.676025759512266,0.676025759512265,0.221121627738033,1.29351179711519,0.0435207111237346,-0.520085123678831,0.103851378245023,0.422347994991033
"4","Aransas County",36.0422036082474,1.04703608247423,0.0290502793296089,-0.321984785229068,1.77351438071595,-0.210370417609693,-0.237732396759943,0.237732396759941,0.525163144064949,-0.693497259655237,0.533997705601792,-0.607394849538497,0.0931177352391856,-1.36958006387993
"5","Archer County",78.9264187421813,1.13726828158763,0.0144092219020173,-1.12790518303502,0.968949270774036,-0.232573793575322,-0.491215962319932,0.491215962319929,1.51294930417757,-0.803953694876081,-0.306222035319498,-0.138990591246628,-0.360053142814263,-0.555643763808659
"6","Armstrong County",66.3556246759979,3.1104199066874,0.046875,-1.05732088049739,1.15332877513572,-0.249978565700726,-0.126453224540922,0.126453224540922,1.42151557255397,-0.742952209977481,-0.505925049841985,2.00421383933165,-0.360053142814263,-0.70277674771534
"7","Atascosa County",78.54338478157,1.86958599056898,0.0238032266596139,1.24890401218533,-0.606657402862202,-0.19709559141235,-0.288930749449013,0.288930749449011,-1.05551912054206,-0.820361397060012,-0.306371868157636,-0.429648723611078,-0.252162314710807,0.878100302664076
"8","Austin County",47.9311757476444,0.614502253174928,0.0128205128205128,-0.369281820066666,0.315240118946235,-0.194165296444344,-0.456870101511749,0.456870101511747,0.317279372868146,0.413983525126717,-0.403661292634254,-0.580975551304808,0.0536695575647466,-0.0574274653254059
"9","Bailey County",104.536489151874,2.11327134404057,0.0202156334231806,1.21088490110182,-0.640180949109781,-0.245238961088045,0.279020299520497,-0.279020299520497,-1.03616444582649,-0.700921689159976,-0.0475221765311001,-0.516085245061994,-0.360053142814263,1.15833818924717
"10","Bandera County",38.4687558641396,0.938262338149747,0.024390243902439,-0.711158384765127,2.1757969356869,-0.203742837715612,-0.403511377643909,0.403511377643906,1.04954411281996,-0.780062961854249,-0.392048336803005,-0.21078491457736,-0.0351793970162856,-1.77002435894224
"11","Bastrop County",54.4542126366648,0.70978507209922,0.0130345300708896,0.0623106801717472,-0.0367571166533502,-0.106610442769428,-0.0134591431928827,0.013459143192881,-0.133845126156397,0.241940147960389,-0.0647419193625346,0.21219411491257,1.62330054937415,0.31611217463232
"12","Baylor County",76.0688506385341,2.49861188228762,0.0328467153284672,-1.0495770425899,1.5220877838591,-0.244511303948339,-0.795439223100825,0.795439223100823,1.28994140998016,-0.443502951712585,-0.505925049841985,-0.655066764355412,-0.360053142814263,-0.679333218106588
"13","Bee County",94.1672522839072,1.61935897827615,0.0171966255678131,1.02056628006215,-0.640180949109781,-0.229800829880766,3.0128182961903,-3.0128182961903,-1.14934631036921,0.317136332932223,-0.261333336756167,0.255197004263531,-0.00300122275368693,-0.743838291961545
"14","Bell County",49.0689616232697,0.635947055921737,0.0129602713178295,-0.451650090028844,-1.41122251280411,0.382099825384584,-0.286809874279857,0.286809874279853,-0.44107740343047,2.24698318662223,0.933404338358527,-0.082238027278537,0.0579609209700097,0.858205698507195
"15","Bexar County",80.4601893019254,1.07822182194118,0.0134006871136628,1.08708633024463,-0.958654638461788,3.85135273700263,-0.494320707463904,0.494320707463901,-1.33105411646699,0.135368058459508,0.851982370949813,-0.356200303034457,0.290537610722794,0.42238199057792
"16","Blanco County",28.6770673640545,0.99197402831635,0.0345911949685535,-0.66324650610387,1.75675260759216,-0.226064212136329,-0.190236150399474,0.190236150399471,0.993073638859229,-0.93010561910323,-0.207846745352219,-0.655066764355412,-0.360053142814263,-1.45538605319883
"17","Borden County",29.9003322259136,0,0,-1.15683919361484,0.516381396431713,-0.252358201211657,0.129519782764735,-0.129519782764737,1.69259935624795,-0.931472043634766,-0.505925049841985,-0.655066764355412,-0.360053142814263,0.845110261681546
"18","Bosque County",55.026455026455,1.11389585073796,0.0202429149797571,-0.729654785712287,1.25389941387846,-0.22325191562341,-0.526871576572064,0.526871576572061,1.04587013147619,-0.723871860898467,-0.341967196742431,-0.00674642336141317,-0.360053142814263,-0.673785439952626
"19","Bowie County",52.0745447749239,1.48448763816949,0.02850697292863,-1.16708227105243,-0.137327755396088,-0.0906216521050737,-0.160979179353096,0.160979179353096,0.373745984962514,2.6886667116309,-0.0139201631659253,1.01375522008243,-0.221382865298583,-0.157577098795806
"20","Brazoria County",75.2785444876371,0.80058960389601,0.0106350303309529,-0.207961304675688,-0.573133856614622,0.587161473917457,-0.0862496174739834,0.0862496174739834,-0.353330618997291,1.03003229665007,2.70248744101591,-0.05403997007359,0.19410567506702,0.613586245650833
